Income,Gender,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q6OTH1,"What is your race? (white, black, latino, asian, other)",Q7OTH1,"Do you live in a city, suburb, or small town?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","Do you think federal funding for welfare programs in America should be increased, decreased, or kept the same? ",Do you think poor black people are more likely to benefit from welfare programs than poor white people?,Do you think poor people in cities are more likely to benefit from welfare programs than poor people in small towns?,"If you had to choose, would you rather live in a more equal society or a more unequal society?","
Now, I'd like you to try to guess the level of wealth equality in America. Out of all the wealth that Americans have, what percentage of that wealth would you guess is owned by the richest 1% of Americans? (0 to 100%)","In general, do you think our government should take money from the rich and give it to the poor?","In many other countries, poverty is more extreme than it is in America. Do you think our government should give money to the poorest people in those other countries, instead of giving it to the poorest Americans?","
Do you consider rap a form of music?",Are you hungry right now? ,Do you think you're strong enough to beat most people in a fist-fight?,"
Do you think your farts are more smelly or less smelly than other people's farts?"
80000,Male,36,35-44,Strong Republican,Strong Conservative,High school or less,,White,,City,Approve,Decreased,DK/REF,Yes,More Equal Society,90,Strongly No,Strongly No,No,Not Hungry,Yes,More Smelly
,Female,34,25-34,DK/REF,DK/REF,College degree,,DK/REF,,DK/REF,Disapprove,DK/REF,No,No,DK/REF,50,Not Very Strongly No,DK/REF,DK/REF,A Little Hungry,No,DK/REF
,Female,99,65+,Strong Republican,Strong Conservative,DK/REF,,DK/REF,,Small Town,Approve,Increased,Yes,Yes,More Equal Society,80,Strongly No,Strongly No,No,Very Hungry,No,DK/REF
40000,Female,35,35-44,DK/REF,Moderate,College degree,,White,,Small Town,Disapprove,DK/REF,No,Yes,More Equal Society,80,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
12000,Other,43,35-44,DK/REF,Strong Liberal,Graduate degree,,DK/REF,,City,DK/REF,Kept the Same,No,No,More Equal Society,85,DK/REF,Strongly No,Yes,Not Hungry,Yes,DK/REF
110000,Male,41,35-44,Not Strong Republican,Strong Conservative,Some college,,White,,Suburb,Approve,Decreased,No,No,More Unequal Society,60,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,60,55-64,Strong Democrat,Moderate,College degree,,Black,,Small Town,Disapprove,DK/REF,No,Yes,More Equal Society,85,Strongly No,Not Very Strongly No,No,Not Hungry,No,DK/REF
,Female,39,35-44,Strong Democrat,Strong Liberal,College degree,,Black,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,70,Strongly Yes,Strongly No,Yes,A Little Hungry,No,Less Smelly
80000,Male,43,35-44,DK/REF,DK/REF,College degree,,White,,City,DK/REF,DK/REF,DK/REF,DK/REF,More Equal Society,DK/REF,Strongly No,DK/REF,No,Not Hungry,DK/REF,DK/REF
,Male,60,55-64,DK/REF,Not Very Strong Conservative,College degree,,Other,Middle Eastern,City,Neither Approve nor disapprove,Kept the Same,No,Yes,More Unequal Society,2,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
500000,Male,22,18-24,Strong Republican,Strong Conservative,Graduate degree,,White,,Suburb,Approve,Kept the Same,No,No,DK/REF,60,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
49000,Female,45,45-54,DK/REF,DK/REF,High school or less,,Black,,City,Neither Approve nor disapprove,Kept the Same,No,Yes,More Equal Society,25,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
,Female,64,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Small Town,Disapprove,Increased,Yes,Yes,More Equal Society,10,Not Very Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
70000,Female,57,55-64,Strong Democrat,Moderate,Graduate degree,,White,,Suburb,Disapprove,Increased,Yes,Yes,More Equal Society,DK/REF,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Female,22,18-24,Independent,Moderate,Some college,,White,,City,Approve,Decreased,DK/REF,No,More Equal Society,50,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Male,37,35-44,DK/REF,DK/REF,Graduate degree,,White,,Small Town,Approve,DK/REF,No,No,DK/REF,DK/REF,DK/REF,DK/REF,Yes,A Little Hungry,Yes,DK/REF
,Other,97,65+,DK/REF,Moderate,Graduate degree,,DK/REF,,Small Town,Neither Approve nor disapprove,Increased,No,No,More Unequal Society,1,Strongly Yes,Strongly No,Yes,Very Hungry,Yes,Less Smelly
60000,Female,66,65+,Independent,Strong Liberal,Graduate degree,,Other,European American,City,Disapprove,Increased,DK/REF,DK/REF,More Equal Society,80,DK/REF,Not Very Strongly No,Yes,A Little Hungry,No,Less Smelly
1120,Female,66,65+,Strong Democrat,Moderate,High school or less,,Latino,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,50,Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,51,45-54,Independent,DK/REF,College degree,,White,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,92,Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
55000,Male,19,18-24,Independent,Moderate,Some college,,Black,,Suburb,Disapprove,Decreased,No,No,More Equal Society,80,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
6000,Male,57,55-64,Strong Democrat,Strong Conservative,Graduate degree,,Black,,Small Town,Disapprove,Decreased,DK/REF,DK/REF,More Equal Society,97,Strongly Yes,Strongly No,No,A Little Hungry,Yes,More Smelly
140000,Male,54,45-54,Independent,Strong Conservative,High school or less,,Black,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,75,Strongly Yes,Strongly Yes,Yes,Very Hungry,Yes,More Smelly
300000,Male,50,45-54,Strong Democrat,Not Very Strong Conservative,High school or less,,White,,Small Town,Approve,Increased,Yes,No,More Equal Society,100,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,Less Smelly
30000,Male,50,45-54,DK/REF,DK/REF,Graduate degree,,Other,Inuit,Suburb,DK/REF,Kept the Same,No,No,DK/REF,DK/REF,DK/REF,Not Very Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Male,50,45-54,Independent,Strong Conservative,Graduate degree,,White,,Small Town,Approve,Decreased,DK/REF,DK/REF,More Equal Society,25,Strongly No,Strongly No,Yes,Very Hungry,Yes,More Smelly
20000,Male,56,55-64,Strong Democrat,Not Very Strong Conservative,High school or less,,White,,Small Town,Neither Approve nor disapprove,Kept the Same,No,Yes,More Equal Society,5,Strongly No,Strongly No,No,Not Hungry,Yes,Less Smelly
110000,Male,23,18-24,Strong Democrat,Not very strong Liberal,Graduate degree,,White,,Small Town,Neither Approve nor disapprove,Increased,No,Yes,More Equal Society,90,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
24000,Male,24,18-24,Independent,Not Very Strong Conservative,Some college,,White,,City,Neither Approve nor disapprove,Increased,Yes,Yes,More Equal Society,80,Not Very Strongly Yes,Strongly Yes,Yes,Not Hungry,No,Less Smelly
120000,Male,39,35-44,Independent,Moderate,Some college,,White,,City,Disapprove,Kept the Same,No,DK/REF,More Equal Society,90,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,Yes,More Smelly
60000,Male,86,65+,Independent,Moderate,College degree,,White,,Small Town,Disapprove,Increased,Yes,Yes,More Equal Society,10,Not Very Strongly Yes,Not Very Strongly No,No,Not Hungry,No,Less Smelly
25000,Male,29,25-34,Independent,Moderate,Some college,,White,,Suburb,Disapprove,Kept the Same,Yes,Yes,More Equal Society,60,Strongly Yes,Strongly Yes,Yes,Not Hungry,Yes,More Smelly
35,Male,50,45-54,Independent,Not Very Strong Conservative,Graduate degree,,White,,Small Town,Neither Approve nor disapprove,Kept the Same,No,No,More Unequal Society,50,Strongly Yes,Strongly No,No,Not Hungry,No,Less Smelly
60000,Male,45,45-54,Strong Republican,Not Very Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,66,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
,Male,38,35-44,Independent,Strong Liberal,College degree,,White,,Suburb,Disapprove,Increased,No,Yes,More Equal Society,90,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,Yes,More Smelly
15000,Female,69,65+,Independent,Not very strong Liberal,Graduate degree,,White,,City,Disapprove,Increased,DK/REF,No,More Equal Society,15,Not Very Strongly Yes,Not Very Strongly Yes,Yes,A Little Hungry,No,More Smelly
50000,Female,30,25-34,Strong Democrat,Strong Liberal,College degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,5,Strongly Yes,Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
75000,Male,71,65+,Strong Republican,Moderate,Graduate degree,,White,,DK/REF,Approve,Kept the Same,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,No,DK/REF,DK/REF,DK/REF
180,Female,48,45-54,Not Strong Republican,Moderate,College degree,,White,,Suburb,Approve,DK/REF,Yes,Yes,More Equal Society,80,Strongly No,Strongly No,Yes,Not Hungry,DK/REF,Less Smelly
125000,Male,36,35-44,Independent,Moderate,College degree,,White,,City,Disapprove,Kept the Same,No,No,More Equal Society,75,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Male,63,55-64,Independent,Strong Liberal,College degree,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,50,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,Yes,DK/REF
70000,Male,32,25-34,Independent,Moderate,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,No,Yes,More Equal Society,60,Strongly No,Strongly No,Yes,A Little Hungry,Yes,Less Smelly
30000,Female,68,65+,Strong Republican,Not Very Strong Conservative,Some college,,White,,City,Approve,DK/REF,No,Yes,More Equal Society,10,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Male,55,55-64,Strong Democrat,Not very strong Liberal,Graduate degree,,White,,City,Disapprove,Kept the Same,No,DK/REF,More Equal Society,30,Strongly Yes,DK/REF,DK/REF,Not Hungry,No,DK/REF
,Female,49,45-54,Strong Democrat,Moderate,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,80,Not Very Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
57000,Male,29,25-34,Independent,Not very strong Liberal,High school or less,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,DK/REF,Strongly Yes,Strongly No,No,A Little Hungry,Yes,DK/REF
150000,Male,60,55-64,Not Strong Republican,Strong Conservative,College degree,,White,,Small Town,Approve,DK/REF,No,Yes,More Equal Society,30,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,64,55-64,Independent,Moderate,College degree,,White,,Suburb,Neither Approve nor disapprove,Kept the Same,No,Yes,More Equal Society,80,Not Very Strongly No,Strongly No,No,Not Hungry,No,DK/REF
45000,Male,44,35-44,Strong Republican,Strong Conservative,Some college,,White,,Small Town,Approve,Kept the Same,No,No,More Equal Society,80,Strongly No,Strongly No,No,A Little Hungry,No,Less Smelly
35000,Female,23,18-24,Not Strong Republican,Moderate,Graduate degree,,White,,Suburb,Neither Approve nor disapprove,Decreased,No,Yes,More Equal Society,50,Strongly No,Strongly Yes,Yes,A Little Hungry,No,Less Smelly
,DK/REF,39,35-44,Independent,DK/REF,Some college,,DK/REF,,Small Town,Approve,Decreased,DK/REF,Yes,DK/REF,1,Strongly No,Strongly No,DK/REF,Not Hungry,DK/REF,DK/REF
50000,Male,48,45-54,Strong Democrat,Strong Conservative,College degree,,Black,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,48,Strongly No,Strongly No,Yes,A Little Hungry,DK/REF,DK/REF
,Female,69,65+,Strong Democrat,Strong Liberal,College degree,,White,,Suburb,Disapprove,Increased,No,No,More Equal Society,80,Strongly Yes,DK/REF,Yes,Not Hungry,No,DK/REF
,Female,61,55-64,Independent,Moderate,College degree,,White,,Small Town,DK/REF,Decreased,No,No,More Equal Society,3,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
5000,Female,56,55-64,Independent,Moderate,Some college,,White,,Small Town,Disapprove,DK/REF,DK/REF,DK/REF,More Equal Society,80,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,48,45-54,Independent,Moderate,Graduate degree,,Black,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,80,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
,Male,28,25-34,Independent,Moderate,College degree,,White,,City,Disapprove,Decreased,Yes,Yes,More Equal Society,90,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Male,63,55-64,Independent,Not Very Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,DK/REF,No,DK/REF,5,Strongly No,Strongly No,No,A Little Hungry,DK/REF,DK/REF
,Female,53,45-54,Strong Democrat,Moderate,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,70,Not Very Strongly Yes,Strongly Yes,Yes,Not Hungry,No,DK/REF
100000,Male,58,55-64,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,No,No,DK/REF,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,61,55-64,Independent,Not Very Strong Conservative,High school or less,,White,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,60,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
130,Male,36,35-44,Strong Republican,Moderate,Graduate degree,,White,,City,Disapprove,Kept the Same,DK/REF,No,More Equal Society,75,Not Very Strongly Yes,Strongly Yes,Yes,Not Hungry,Yes,More Smelly
20000,Male,23,18-24,Independent,Moderate,College degree,,Latino,,Suburb,Approve,Decreased,No,No,More Equal Society,90,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
90000,Male,52,45-54,DK/REF,Moderate,High school or less,,Other,Native American,City,Approve,Decreased,No,No,More Equal Society,70,Strongly No,Strongly No,Yes,Very Hungry,Yes,Less Smelly
100000,Male,57,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,DK/REF,Strongly Yes,DK/REF,No,DK/REF,DK/REF,DK/REF
,Male,66,65+,Strong Democrat,Moderate,High school or less,,Black,,DK/REF,Disapprove,Increased,No,Yes,More Equal Society,100,Strongly Yes,Strongly Yes,No,Not Hungry,Yes,DK/REF
100000,Female,50,45-54,Independent,Moderate,Graduate degree,,White,,Suburb,Neither Approve nor disapprove,Decreased,DK/REF,Yes,More Equal Society,30,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,18,18-24,DK/REF,Moderate,College degree,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,85,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
18,Male,69,65+,Strong Democrat,Strong Liberal,Some college,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,60,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,19,18-24,Independent,Not very strong Liberal,Some college,,Asian,,Suburb,Approve,Kept the Same,Yes,Yes,More Equal Society,5,Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Female,72,65+,Independent,Not very strong Liberal,College degree,,White,,City,Disapprove,Kept the Same,Yes,Yes,More Equal Society,DK/REF,Strongly Yes,Strongly No,No,Not Hungry,DK/REF,DK/REF
,Female,61,55-64,Independent,Strong Liberal,College degree,,Black,,City,Disapprove,Increased,No,Yes,More Equal Society,90,Strongly Yes,Strongly Yes,Yes,Not Hungry,No,Less Smelly
,Male,54,45-54,Strong Democrat,Moderate,College degree,,White,,City,Disapprove,Increased,No,Yes,More Equal Society,90,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,DK/REF
500000,Male,58,55-64,Independent,Moderate,Graduate degree,,Other,Pacific Islander,City,Disapprove,Kept the Same,Yes,No,More Equal Society,97,Strongly Yes,Strongly No,No,Not Hungry,No,Less Smelly
60000,Female,46,45-54,Independent,Not Very Strong Conservative,College degree,,Latino,,Suburb,Neither Approve nor disapprove,Kept the Same,DK/REF,DK/REF,More Equal Society,DK/REF,Strongly Yes,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Male,40,35-44,Independent,Moderate,High school or less,,White,,City,Neither Approve nor disapprove,Increased,No,No,More Unequal Society,99,Strongly No,Strongly Yes,Yes,Not Hungry,No,More Smelly
50000,Male,87,65+,Independent,Moderate,High school or less,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,98,Strongly Yes,Strongly No,No,Not Hungry,No,Less Smelly
85000,Male,65,65+,Independent,Strong Conservative,Some college,,White,,Small Town,Approve,Increased,No,No,More Equal Society,90,Strongly No,Strongly Yes,Yes,Not Hungry,No,DK/REF
,Female,51,45-54,Independent,Moderate,College degree,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,45,Not Very Strongly No,Not Very Strongly Yes,No,Not Hungry,No,Less Smelly
,Male,24,18-24,Independent,Moderate,College degree,,DK/REF,,City,Disapprove,Decreased,Yes,Yes,More Equal Society,98,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
,Female,47,45-54,Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Suburb,Approve,Kept the Same,Yes,Yes,DK/REF,50,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
,Female,53,45-54,Independent,Moderate,Graduate degree,,Other,Native American,City,Approve,Decreased,No,Yes,More Equal Society,20,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,34,25-34,Independent,Strong Liberal,High school or less,,Latino,,City,Disapprove,Increased,No,No,More Equal Society,70,Not Very Strongly No,Not Very Strongly No,Yes,A Little Hungry,Yes,More Smelly
,Male,77,65+,Independent,Moderate,High school or less,,White,,City,Approve,Decreased,Yes,DK/REF,DK/REF,DK/REF,Not Very Strongly Yes,Strongly No,DK/REF,Not Hungry,No,DK/REF
,Female,58,55-64,Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Suburb,Neither Approve nor disapprove,Kept the Same,No,No,DK/REF,10,Not Very Strongly No,Not Very Strongly Yes,Yes,Not Hungry,No,DK/REF
100000,Male,23,18-24,Independent,Strong Conservative,College degree,,White,,Suburb,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,90,Strongly No,Not Very Strongly No,Yes,Not Hungry,Yes,Less Smelly
20,Male,82,65+,Independent,Strong Conservative,Some college,,White,,Small Town,Approve,Increased,DK/REF,Yes,More Equal Society,DK/REF,Strongly No,Not Very Strongly No,DK/REF,Not Hungry,No,DK/REF
30000,Male,30,25-34,Strong Republican,Strong Conservative,College degree,,White,,City,Neither Approve nor disapprove,DK/REF,No,No,DK/REF,1,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
30000,Male,20,18-24,Independent,Strong Conservative,College degree,,White,,Suburb,Disapprove,Decreased,No,Yes,More Unequal Society,98,Strongly Yes,Strongly No,Yes,Not Hungry,No,More Smelly
300000,Male,66,65+,Strong Republican,Strong Conservative,Other,Master's Degree,DK/REF,,Suburb,Approve,Decreased,No,Yes,More Unequal Society,25,Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Female,28,25-34,Not Strong Democrat,Not very strong Liberal,High school or less,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,99,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
30000,Female,22,18-24,Not Strong Democrat,Moderate,College degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,80,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
1500,Male,84,65+,Strong Democrat,Moderate,High school or less,,Black,,Small Town,Disapprove,Increased,DK/REF,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
25000,Female,24,18-24,Independent,Moderate,Some college,,Latino,,City,Disapprove,Kept the Same,No,No,More Equal Society,90,Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,Yes,More Smelly
1000100,Female,68,65+,Strong Republican,Strong Conservative,College degree,,White,,Small Town,Neither Approve nor disapprove,Kept the Same,No,Yes,More Equal Society,60,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Female,62,55-64,Strong Democrat,Moderate,Graduate degree,,Black,,Suburb,Disapprove,Increased,No,Yes,More Equal Society,25,Strongly Yes,DK/REF,Yes,Not Hungry,DK/REF,DK/REF
100000,Male,20,18-24,Independent,Moderate,Some college,,Latino,,Suburb,Neither Approve nor disapprove,Kept the Same,Yes,Yes,More Equal Society,70,Not Very Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,No,More Smelly
,Female,25,25-34,Not Strong Democrat,Not very strong Liberal,College degree,,Latino,,Suburb,Disapprove,Increased,No,No,More Unequal Society,95,Strongly Yes,Not Very Strongly No,Yes,DK/REF,Yes,DK/REF
100000,Female,50,45-54,Not Strong Republican,Strong Conservative,Some college,,White,,City,Disapprove,Increased,Yes,Yes,DK/REF,90,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
40000,Female,25,25-34,Strong Democrat,Strong Liberal,Graduate degree,,Black,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,50,Not Very Strongly Yes,Strongly No,No,Not Hungry,DK/REF,DK/REF
,Male,65,65+,Strong Republican,Strong Conservative,Some college,,White,,Suburb,Approve,Decreased,No,No,More Equal Society,1,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
,Male,56,55-64,Independent,Not Very Strong Conservative,Some college,,Latino,,Small Town,Disapprove,Decreased,No,No,More Equal Society,DK/REF,Not Very Strongly Yes,Strongly Yes,No,Not Hungry,No,DK/REF
40000,Male,32,25-34,Not Strong Republican,Moderate,Graduate degree,,White,,Suburb,Neither Approve nor disapprove,Decreased,Yes,No,More Equal Society,95,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
30000,Male,26,25-34,Independent,Moderate,Some college,,Asian,,City,Approve,Kept the Same,No,Yes,More Equal Society,50,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
50000,Female,20,18-24,Not Strong Democrat,Moderate,High school or less,,Asian,,City,Disapprove,Kept the Same,Yes,Yes,More Equal Society,90,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,66,65+,Strong Republican,Strong Conservative,Some college,,White,,City,Approve,Decreased,Yes,Yes,More Equal Society,DK/REF,DK/REF,Strongly No,No,Not Hungry,Yes,DK/REF
200000,Male,61,55-64,Independent,Moderate,College degree,,White,,Small Town,Disapprove,DK/REF,No,Yes,More Equal Society,90,Strongly No,DK/REF,No,Not Hungry,No,Less Smelly
,Male,75,65+,Strong Democrat,Strong Conservative,Graduate degree,,Latino,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,10,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
20000,Male,61,55-64,Strong Republican,Strong Conservative,Some college,,Black,,City,Approve,Decreased,Yes,Yes,More Equal Society,1,Strongly No,Strongly No,No,Very Hungry,Yes,Less Smelly
15,Female,54,45-54,Independent,Moderate,High school or less,,Black,,Small Town,Disapprove,Increased,Yes,No,More Equal Society,50,Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,No,Less Smelly
,Male,65,65+,Strong Democrat,Strong Conservative,Some college,,Black,,City,Disapprove,Increased,No,No,More Equal Society,100,Strongly No,Strongly No,No,Very Hungry,No,Less Smelly
,Female,69,65+,Independent,Not very strong Liberal,High school or less,,White,,City,Approve,Decreased,No,Yes,More Equal Society,20,Not Very Strongly Yes,Strongly Yes,No,Not Hungry,No,DK/REF
,Female,73,65+,Strong Democrat,Moderate,Some college,,Latino,,City,Disapprove,Increased,DK/REF,DK/REF,More Equal Society,DK/REF,Strongly Yes,Strongly Yes,No,Not Hungry,Yes,DK/REF
200,Female,59,55-64,Not Strong Republican,Moderate,Graduate degree,,White,,Suburb,Neither Approve nor disapprove,Kept the Same,No,Yes,More Equal Society,100,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
75000,Male,61,55-64,Independent,Not very strong Liberal,Graduate degree,,White,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,85,Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,No,DK/REF
130000,Male,37,35-44,Independent,Moderate,Some college,,White,,Suburb,Disapprove,Decreased,No,No,More Equal Society,80,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
,Male,58,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Suburb,DK/REF,Kept the Same,DK/REF,No,More Equal Society,DK/REF,Strongly Yes,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
50000,Male,50,45-54,Independent,Strong Conservative,High school or less,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,90,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Male,60,55-64,Not Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Kept the Same,No,No,More Equal Society,85,Strongly No,DK/REF,Yes,A Little Hungry,Yes,More Smelly
,Female,60,55-64,Independent,Strong Conservative,Some college,,White,,City,Approve,Decreased,DK/REF,Yes,DK/REF,10,Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
100000,Female,58,55-64,Strong Democrat,Strong Liberal,College degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,5,Strongly Yes,DK/REF,Yes,Not Hungry,No,DK/REF
,Female,58,55-64,Strong Democrat,Strong Liberal,College degree,,Black,,City,Disapprove,Increased,No,No,More Equal Society,87,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,No,Less Smelly
15000,Female,31,25-34,Strong Democrat,Not Very Strong Conservative,High school or less,,Black,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,DK/REF,Strongly Yes,Strongly No,No,Not Hungry,Yes,More Smelly
40000,Female,47,45-54,Independent,Strong Liberal,High school or less,,Latino,,City,Disapprove,Increased,DK/REF,No,More Equal Society,50,Strongly Yes,Strongly No,No,Not Hungry,No,Less Smelly
100000,Female,40,35-44,Not Strong Democrat,Strong Liberal,Graduate degree,,White,,Suburb,Disapprove,Increased,No,No,DK/REF,98,DK/REF,DK/REF,Yes,Very Hungry,DK/REF,DK/REF
24000,Female,66,65+,Strong Democrat,Moderate,High school or less,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,DK/REF,Strongly Yes,Strongly No,No,A Little Hungry,No,Less Smelly
,Female,50,45-54,Strong Republican,Moderate,College degree,,White,,Small Town,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
,Female,50,45-54,Independent,Moderate,Some college,,White,,City,Approve,DK/REF,No,No,More Equal Society,100,Strongly No,Strongly Yes,No,Not Hungry,Yes,More Smelly
25000,Male,53,45-54,Independent,Moderate,High school or less,,Latino,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,60,Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
250000,Male,50,45-54,Independent,Moderate,College degree,,White,,City,Approve,Decreased,No,No,More Equal Society,1,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,DK/REF,Less Smelly
132000,Female,54,45-54,Not Strong Republican,Strong Liberal,Graduate degree,,White,,Suburb,Disapprove,Decreased,No,Yes,DK/REF,99,Not Very Strongly No,DK/REF,Yes,Not Hungry,No,Less Smelly
,Female,81,65+,Strong Republican,Moderate,College degree,,White,,Suburb,DK/REF,DK/REF,DK/REF,No,More Equal Society,65,Not Very Strongly No,DK/REF,Yes,Not Hungry,Yes,DK/REF
47,Female,60,55-64,Independent,Strong Conservative,College degree,,White,,Suburb,Disapprove,Increased,No,No,More Unequal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
